"eBird.English.Name.2025","eBird.Scientific.Name.2025","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Avilist.English.Name","Avilist.Scientific.Name","Avibase.ID","Selected.NRL","Generation.Length","No.of.Subspecies","Percent.of.Global.Range","India.Checklist.Sortorder","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","proj2033.lci","proj2033.mean","proj2033.rci","rangelci","rangemean","rangerci"
"Common Pochard","Aythya ferina","compoc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Moderate","Moderate Decline","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Common Pochard","Aythya ferina","Common Pochard","Aythya ferina","Vulnerable","Schedule-I","","Appendix II",NA,"Common Pochard","Aythya ferina","avibase-A96692E0",1,5.55,1,0.086981848,35,"","","",211,0.127962085308057,0.273696682464455,0.398104265402844,10.8341232227488,0.821138984610887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,911690,912233,912776
"Ferruginous Duck","Aythya nyroca","ferduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Strong Increase","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Ferruginous Duck","Aythya nyroca","Ferruginous Duck","Aythya nyroca","Near Threatened","Schedule-II","","Appendix I",1000,"Ferruginous Duck","Aythya nyroca","avibase-7CF91527",1,5.4,1,0.055676043,36,"","","",80,0.1125,0.1890625,0.2125,10.475,1.34947490491203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444275,444815,445355
"Baer's Pochard","Aythya baeri","baepoc1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",1,NA,NA,"Baer's Pochard","Aythya baeri","Baer's Pochard","Aythya baeri","Critically Endangered","Schedule-I","","Appendix I",NA,"Baer's Pochard","Aythya baeri","avibase-750FE708",1,5.75,1,0.038131833,37,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3574,4132,4690
"Tufted Duck","Aythya fuligula","tufduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Omnivore","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Tufted Duck","Aythya fuligula","Tufted Duck","Aythya fuligula","Least Concern","Schedule-II","","Appendix II",3900,"Tufted Duck","Aythya fuligula","avibase-67CEA1C1",1,6.01,1,0.092270565,38,"","","",121,0.190082644628099,0.237603305785124,0.338842975206612,11.0826446280992,1.0934584203698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610625,611209,611793
"Greater Scaup","Aythya marila","gresca","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Greater Scaup","Aythya marila","Greater Scaup","Aythya marila","Least Concern","Schedule-II","","Appendix II",NA,"Greater Scaup","Aythya marila","avibase-25C94A8F",1,6.54,1,NA,39,"","","",1,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Long-tailed Duck","Clangula hyemalis","lotduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Long-tailed Duck","Clangula hyemalis","Long-tailed Duck","Clangula hyemalis","Vulnerable","Schedule-II","","Appendix II",NA,"Long-tailed Duck","Clangula hyemalis","avibase-AF0C7BDE",NA,5.67,1,NA,40,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Goldeneye","Bucephala clangula","comgol","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Common Goldeneye","Bucephala clangula","Common Goldeneye","Bucephala clangula","Least Concern","Schedule-II","","Appendix II",NA,"Common Goldeneye","Bucephala clangula","avibase-68EA281A",1,8.17,1,NA,41,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smew","Mergellus albellus","smew","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Smew","Mergellus albellus","Smew","Mergellus albellus","Least Concern","Schedule-II","","Appendix II",NA,"Smew","Mergellus albellus","avibase-F1F52036",1,5.4,1,NA,42,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Merganser","Mergus merganser","commer","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Data Deficient","Uncertain","Moderate","24 hour","24 hour","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Winter Migrant & Localized Summer Migrant",NA,NA,NA,"Common Merganser","Mergus merganser","Goosander","Mergus merganser","Least Concern","Schedule-II","","Appendix II",50,"Common Merganser","Mergus merganser","avibase-407E2CA8",1,6.23,2,0.013061453,43,"","","",35,0.2,0.282142857142857,0.485714285714286,7.8,1.63255353934367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71648,72077,72506
"Red-breasted Merganser","Mergus serrator","rebmer","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Vertebrate & Carrion","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Red-breasted Merganser","Mergus serrator","Red-breasted Merganser","Mergus serrator","Least Concern","Schedule-II","","Appendix II",NA,"Red-breasted Merganser","Mergus serrator","avibase-8DB64266",NA,5.7,1,NA,44,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White-headed Duck","Oxyura leucocephala","whhduc1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"White-headed Duck","Oxyura leucocephala","White-headed Duck","Oxyura leucocephala","Endangered","Schedule-I","Appendix II","Appendix I",NA,"White-headed Duck","Oxyura leucocephala","avibase-2E40EF2C",NA,5.86,1,0.051930935,45,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicobar Megapode","Megapodius nicobariensis","nicscr1","Galliformes","Megapodiidae (Megapodes)","High","Data Deficient","Data Deficient","Restricted","24 hour","24 hour","Invertebrate","Yes","Yes","No","Nicobar Islands","Forest","Resident",NA,NA,1,"Nicobar Megapode","Megapodius nicobariensis","Nicobar Scrubfowl","Megapodius nicobariensis","Vulnerable","Schedule-I","","",NA,"Nicobar Megapode","Megapodius nicobariensis","avibase-F4042498",1,5.99,2,1,46,"","","",3,NA,0.666666666666667,0.333333333333333,2.66666666666667,2.35562683330314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1446,1468,1490
"Hill Partridge","Arborophila torqueola","hilpar1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Plant & Seed","No","No","Yes","Himalayas","Forest","Resident",NA,NA,NA,"Hill Partridge","Arborophila torqueola","Hill Partridge","Arborophila torqueola","Least Concern","Schedule-II","","",NA,"Hill Partridge","Arborophila torqueola","avibase-E74469BF",1,5.04,4,0.291360731,47,"","","",41,0.0487804878048781,0.317073170731707,0.48780487804878,9.04878048780488,1.27859059451721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105800,106113,106426
"Chestnut-breasted Partridge","Arborophila mandellii","chbpar2","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","High","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Omnivore","No","Yes","Yes","Eastern Himalayas","Forest","Resident",NA,NA,NA,"Chestnut-breasted Partridge","Arborophila mandellii","Chestnut-breasted Partridge","Arborophila mandellii","Near Threatened","Schedule-I","","",NA,"Chestnut-breasted Partridge","Arborophila mandellii","avibase-768C2230",1,5.11,1,0.683794172,48,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14895,15539,16183
"Rufous-throated Partridge","Arborophila rufogularis","rutpar1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Moderate","Data Deficient","Data Deficient","Moderate","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Rufous-throated Partridge","Arborophila rufogularis","Rufous-throated Partridge","Arborophila rufogularis","Least Concern","Schedule-II","","",NA,"Rufous-throated Partridge","Arborophila rufogularis","avibase-5CEEFC64",1,5.16,2,0.193614792,49,"","","",4,NA,0.25,NA,10.75,4.75914207954893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64851,65358,65865
"White-cheeked Partridge","Arborophila atrogularis","whcpar1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Omnivore","No","No","Yes","Eastern Himalayas","Forest","Resident",NA,NA,NA,"White-cheeked Partridge","Arborophila atrogularis","White-cheeked Partridge","Arborophila atrogularis","Least Concern","Schedule-II","","",NA,"White-cheeked Partridge","Arborophila atrogularis","avibase-65723342",1,4.73,1,0.479422392,50,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49857,50508,51159
"Snow Partridge","Lerwa lerwa","snopar1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Alpine & Cold Desert","Resident & Altitudinal Migrant",NA,NA,NA,"Snow Partridge","Lerwa lerwa","Snow Partridge","Lerwa lerwa","Least Concern","Schedule-II","","",NA,"Snow Partridge","Lerwa lerwa","avibase-AEC62A99",1,6.36,1,0.150071514,51,"","","",16,0.25,0.265625,0.1875,9.4375,1.97601271504006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blood Pheasant","Ithaginis cruentus","blophe1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Forest","Resident & Altitudinal Migrant",1,NA,NA,"Blood Pheasant","Ithaginis cruentus","Blood Pheasant","Ithaginis cruentus","Least Concern","Schedule-I","Appendix II","",NA,"Blood Pheasant","Ithaginis cruentus","avibase-FFF63987",1,6,4,0.041539364,52,"","","",6,0.166666666666667,0.416666666666667,0.5,7,1.82466069905247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10167,10448,10729
"Western Tragopan","Tragopan melanocephalus","westra1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","High","Data Deficient","Data Deficient","Very Restricted","Diurnal","Diurnal","Plant & Seed","No","Yes","Yes","Western Himalayas","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Western Tragopan","Tragopan melanocephalus","Western Tragopan","Tragopan melanocephalus","Vulnerable","Schedule-I","Appendix I","",NA,"Western Tragopan","Tragopan melanocephalus","avibase-44BD6CF1",1,6.69,1,0.749804211,53,"","","",8,0.5,0.25,0.375,10,3.49439551281763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5207,5468,5729
"Satyr Tragopan","Tragopan satyra","sattra1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Plant & Seed","No","Yes","Yes","Indian Subcontinent","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Satyr Tragopan","Tragopan satyra","Satyr Tragopan","Tragopan satyra","Least Concern","Schedule-I","","",NA,"Satyr Tragopan","Tragopan satyra","avibase-FB26CE58",1,6.88,1,0.2789342,54,"","","",6,NA,0.291666666666667,0.5,9.33333333333333,3.94171761771157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10951,11273,11595
"Blyth's Tragopan","Tragopan blythii","blytra1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","High","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Omnivore","No","No","Yes","Eastern Himalayas","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Blyth's Tragopan","Tragopan blythii","Blyth's Tragopan","Tragopan blythii","Vulnerable","Schedule-I","Appendix I","",NA,"Blyth's Tragopan","Tragopan blythii","avibase-528CC7C2",1,6.96,2,0.477487865,55,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8932,9343,9754
"Temminck's Tragopan","Tragopan temminckii","temtra1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Temminck's Tragopan","Tragopan temminckii","Temminck's Tragopan","Tragopan temminckii","Least Concern","Schedule-I","","",NA,"Temminck's Tragopan","Tragopan temminckii","avibase-5DDD7AA1",1,6.38,1,0.022228069,56,"","","",1,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4137,4397,4657
"Himalayan Monal","Lophophorus impejanus","himmon1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Plant & Seed","No","No","Yes","Himalayas","Forest","Resident & Altitudinal Migrant",NA,NA,NA,"Himalayan Monal","Lophophorus impejanus","Himalayan Monal","Lophophorus impejanus","Least Concern","Schedule-I","Appendix I","",NA,"Himalayan Monal","Lophophorus impejanus","avibase-F57FA437",1,6.41,1,0.270813823,57,"","","",71,0.140845070422535,0.288732394366197,0.436619718309859,7.97183098591549,0.977410981999175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68138,68482,68826
"Sclater's Monal","Lophophorus sclateri","sclmon1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","High","Data Deficient","Data Deficient","Very Restricted","Diurnal","Diurnal","Plant & Seed","No","No","Yes","Eastern Himalayas","Alpine & Cold Desert","Resident & Altitudinal Migrant",NA,NA,NA,"Sclater's Monal","Lophophorus sclateri","Sclater's Monal","Lophophorus sclateri","Least Concern","Schedule-I","Appendix I","",NA,"Sclater's Monal","Lophophorus sclateri","avibase-298DEB8C",1,7.59,2,0.493452603,58,"","","X",1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4291,4926,5561
"Koklass Pheasant","Pucrasia macrolopha","kokphe1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Moderate","Data Deficient","Data Deficient","Moderate","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Koklass Pheasant","Pucrasia macrolopha","Koklass Pheasant","Pucrasia macrolopha","Least Concern","Schedule-II","","",NA,"Koklass Pheasant","Pucrasia macrolopha","avibase-6383E214",1,5.06,5,0.051905562,59,"","","",48,0.1875,0.28125,0.416666666666667,9.20833333333333,1.29175780964184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70379,70692,71005
"Tibetan Partridge","Perdix hodgsoniae","tibpar1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Alpine & Cold Desert","Resident",NA,NA,NA,"Tibetan Partridge","Perdix hodgsoniae","Tibetan Partridge","Perdix hodgsoniae","Least Concern","Schedule-I","","",NA,"Tibetan Partridge","Perdix hodgsoniae","avibase-ABB81DC6",1,3.91,2,0.015813863,60,"","","",31,0.0645161290322581,0.282258064516129,0.516129032258065,8.03225806451613,1.70404984953441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mrs. Hume's Pheasant","Syrmaticus humiae","humphe1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Mrs. Hume's Pheasant","Syrmaticus humiae","Mrs Hume's Pheasant","Syrmaticus humiae","Vulnerable","Schedule-I","Appendix I","",NA,"Mrs. Hume's Pheasant","Syrmaticus humiae","avibase-FAF7DC71",1,5.85,1,0.079361151,61,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cheer Pheasant","Catreus wallichii","chephe1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","High","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Plant & Seed","No","Yes","Yes","Western Himalayas","Forest","Resident",NA,NA,NA,"Cheer Pheasant","Catreus wallichii","Cheer Pheasant","Catreus wallichii","Vulnerable","Schedule-I","Appendix I","",NA,"Cheer Pheasant","Catreus wallichii","avibase-BCF98F51",1,5.91,1,0.570427633,62,"","","",24,0.0833333333333333,0.203125,0.25,10.3333333333333,1.7365911413659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50251,50731,51211
"Kalij Pheasant","Lophura leucomelanos","kalphe","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Low","Uncertain","Uncertain","Moderate","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Kalij Pheasant","Lophura leucomelanos","Kalij Pheasant","Lophura leucomelanos","Least Concern","Schedule-I","","",NA,"Kalij Pheasant","Lophura leucomelanos","avibase-93A17734",1,5.04,5,0.242479387,63,"","","",66,0.0909090909090909,0.410984848484849,0.53030303030303,8.25757575757576,0.959743464228507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178909,178909,178909
"Indian Peafowl","Pavo cristatus","compea","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Low","Strong Increase","Moderate Increase","Very Large","Diurnal","Diurnal","Plant & Seed","No","Yes","No","Indian Subcontinent","Non-specialized","Resident",NA,NA,NA,"Indian Peafowl","Pavo cristatus","Indian Peafowl","Pavo cristatus","Least Concern","Schedule-I","","",NA,"Indian Peafowl","Pavo cristatus","avibase-A8C34DC9",1,8.91,1,0.93022396,64,"","","",478,0.0794979079497908,0.443253138075314,0.663179916317992,9.60669456066946,0.537483436302503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022272,2022607,2022942
"Green Peafowl","Pavo muticus","grepea1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Uncertain",NA,1,NA,"Green Peafowl","Pavo muticus","Green Peafowl","Pavo muticus","Endangered","Schedule-I","Appendix II","",NA,"Green Peafowl","Pavo muticus","avibase-990B9171",1,8.96,1,NA,65,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red Spurfowl","Galloperdix spadicea","redspu1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Low","Stable","Uncertain","Large","Diurnal","Diurnal","Omnivore","Yes","Yes","No","Mainland India","Forest","Resident",NA,NA,NA,"Red Spurfowl","Galloperdix spadicea","Red Spurfowl","Galloperdix spadicea","Least Concern","Schedule-II","","",NA,"Red Spurfowl","Galloperdix spadicea","avibase-730665C1",1,5.92,3,1,66,"","","",58,0.103448275862069,0.334051724137931,0.551724137931034,14.0689655172414,1.69474611149239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348196,348637,349078
"Painted Spurfowl","Galloperdix lunulata","paispu1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Moderate","Uncertain","Moderate Decline","Moderate","Diurnal","Diurnal","Omnivore","Yes","Yes","No","Mainland India","Forest & Plantation","Resident",NA,NA,NA,"Painted Spurfowl","Galloperdix lunulata","Painted Spurfowl","Galloperdix lunulata","Least Concern","Schedule-II","","",NA,"Painted Spurfowl","Galloperdix lunulata","avibase-3A5DB01C",1,5.43,1,1,67,"","","",74,0.0675675675675676,0.295608108108108,0.459459459459459,11.3243243243243,1.52359044514662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331940,332562,333184
"Gray Peacock-Pheasant","Polyplectron bicalcaratum","grypep2","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Grey Peacock-Pheasant","Polyplectron bicalcaratum","Grey Peacock-Pheasant","Polyplectron bicalcaratum","Least Concern","Schedule-I","Appendix II","",NA,"Grey Peacock-Pheasant","Polyplectron bicalcaratum","avibase-824E5471",1,6.59,1,0.129834608,68,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35397,35914,36431
"Mountain Bamboo-Partridge","Bambusicola fytchii","mobpar1","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Mountain Bamboo-Partridge","Bambusicola fytchii","Mountain Bamboo-partridge","Bambusicola fytchii","Least Concern","Schedule-I","","",NA,"Mountain Bamboo Partridge","Bambusicola fytchii","avibase-A070B7F4",1,4.99,1,0.125963995,69,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red Junglefowl","Gallus gallus","redjun","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Low","Uncertain","Uncertain","Large","Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Red Junglefowl","Gallus gallus","Red Junglefowl","Gallus gallus","Least Concern","Schedule-II","","",NA,"Red Junglefowl","Gallus gallus","avibase-3749777E",1,4.7,2,0.199451778,70,"","","",33,0.0606060606060606,0.299242424242424,0.575757575757576,10.5757575757576,1.50673715064661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582946,583366,583786
