eBird.English.Name.2022,eBird.Scientific.Name.2022,eBird.Code,Order,Family,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,BLI.Common.Name,BLI.Scientific.Name,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,Onepercent.Estimates
Black Francolin,Francolinus francolinus,blkfra,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Open Habitat,Resident,1,NA,NA,Black Francolin,Francolinus francolinus,Black Francolin,Francolinus francolinus,Least Concern,Schedule-II,,,
Painted Francolin,Francolinus pictus,paifra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Painted Francolin,Francolinus pictus,Painted Francolin,Francolinus pictus,Least Concern,Schedule-II,,,
Tibetan Snowcock,Tetraogallus tibetanus,tibsno1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Alpine & Cold Desert,Resident,NA,NA,NA,Tibetan Snowcock,Tetraogallus tibetanus,Tibetan Snowcock,Tetraogallus tibetanus,Least Concern,Schedule-I,Appendix I,,
Himalayan Snowcock,Tetraogallus himalayensis,himsno,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Himalayas,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Himalayan Snowcock,Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,Least Concern,Schedule-II,,,
Blue-breasted Quail,Synoicus chinensis,blbqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Uncertain,NA,NA,NA,Blue-breasted Quail,Synoicus chinensis,Asian Blue Quail,Synoicus chinensis,Least Concern,Schedule-II,,,
Common Quail,Coturnix coturnix,comqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,24 hour,Diurnal,Plant & Seed,No,No,No,None,Open Habitat,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Common Quail,Coturnix coturnix,Common Quail,Coturnix coturnix,Least Concern,Schedule-II,,Appendix II,
Japanese Quail,Coturnix japonica,japqua,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,None,Open Habitat,Uncertain,NA,1,NA,Japanese Quail,Coturnix japonica,Japanese Quail,Coturnix japonica,Near Threatened,Schedule-II,,,
Rain Quail,Coturnix coromandelica,raiqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Strong Decline,Strong Increase,Large,24 hour,Diurnal,Plant & Seed,No,No,No,None,Open Habitat,Uncertain,NA,NA,NA,Rain Quail,Coturnix coromandelica,Rain Quail,Coturnix coromandelica,Least Concern,Schedule-II,,,
Chukar,Alectoris chukar,chukar,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Open Habitat,Resident & Altitudinal Migrant,NA,NA,NA,Chukar Partridge,Alectoris chukar,Chukar,Alectoris chukar,Least Concern,Schedule-II,,,
Jungle Bush-Quail,Perdicula asiatica,jubqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Moderate Decline,Moderate Decline,Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Grassland & Scrub,Resident,NA,NA,NA,Jungle Bush Quail,Perdicula asiatica,Jungle Bush-quail,Perdicula asiatica,Least Concern,Schedule-II,,,
Rock Bush-Quail,Perdicula argoondah,robqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,Yes,Yes,No,Mainland India,Grassland & Scrub,Resident,NA,NA,NA,Rock Bush Quail,Perdicula argoondah,Rock Bush-quail,Perdicula argoondah,Least Concern,Schedule-II,,,
Painted Bush-Quail,Perdicula erythrorhyncha,pabqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,Yes,Yes,No,Mainland India,Grassland & Scrub,Resident,NA,NA,NA,Painted Bush Quail,Perdicula erythrorhyncha,Painted Bush-quail,Perdicula erythrorhyncha,Least Concern,Schedule-II,,,
Manipur Bush-Quail,Perdicula manipurensis,mabqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Data Deficient,Diurnal,Diurnal,Plant & Seed,Yes,Yes,No,Assam Plains,Grassland,Uncertain,NA,NA,NA,Manipur Bush Quail,Perdicula manipurensis,Manipur Bush-quail,Perdicula manipurensis,Endangered,Schedule-I,,,
Himalayan Quail,Ophrysia superciliosa,himqua1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",High,Data Deficient,Data Deficient,Data Deficient,Diurnal,Diurnal,Plant & Seed,Yes,Yes,Yes,Western Himalayas,Grassland,Uncertain,NA,NA,NA,Himalayan Quail,Ophrysia superciliosa,Himalayan Quail,Ophrysia superciliosa,Critically Endangered,Schedule-I,,,
Greater Flamingo,Phoenicopterus roseus,grefla3,Phoenicopteriformes,Phoenicopteridae (Flamingos),Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Omnivore,No,No,No,None,Wetland,Within-India Migrant,NA,NA,NA,Greater Flamingo,Phoenicopterus roseus,Greater Flamingo,Phoenicopterus roseus,Least Concern,Schedule-II,,Appendix II,
Lesser Flamingo,Phoeniconaias minor,lesfla1,Phoenicopteriformes,Phoenicopteridae (Flamingos),Moderate,Data Deficient,Uncertain,Restricted,24 hour,24 hour,Plant & Seed,No,No,No,None,Wetland,Within-India Migrant,NA,NA,NA,Lesser Flamingo,Phoeniconaias minor,Lesser Flamingo,Phoeniconaias minor,Near Threatened,Schedule-II,,Appendix II,3900
Little Grebe,Tachybaptus ruficollis,litgre1,Podicipediformes,Podicipedidae (Grebes),Low,Stable,Strong Decline,Very Large,24 hour,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident,NA,NA,NA,Little Grebe,Tachybaptus ruficollis,Little Grebe,Tachybaptus ruficollis,Least Concern,Schedule-II,,,10000
Horned Grebe,Podiceps auritus,horgre,Podicipediformes,Podicipedidae (Grebes),NA,NA,NA,NA,Diurnal,24 hour,Vertebrate & Carrion,No,No,No,None,Wetland,Uncertain,NA,1,NA,Horned Grebe,Podiceps auritus,Horned Grebe,Podiceps auritus,Vulnerable,Schedule-II,,Appendix II,
Red-necked Grebe,Podiceps grisegena,rengre,Podicipediformes,Podicipedidae (Grebes),NA,NA,NA,NA,24 hour,24 hour,Omnivore,No,No,No,None,Wetland,Uncertain,NA,1,NA,Red-necked Grebe,Podiceps grisegena,Red-necked Grebe,Podiceps grisegena,Least Concern,Schedule-II,,Appendix II,
Great Crested Grebe,Podiceps cristatus,grcgre1,Podicipediformes,Podicipedidae (Grebes),Low,Uncertain,Uncertain,Moderate,Diurnal,24 hour,Vertebrate & Carrion,No,No,No,None,Wetland,Resident & Winter Migrant,NA,NA,NA,Great Crested Grebe,Podiceps cristatus,Great Crested Grebe,Podiceps cristatus,Least Concern,Schedule-II,,,250
Eared Grebe,Podiceps nigricollis,eargre,Podicipediformes,Podicipedidae (Grebes),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Black-necked Grebe,Podiceps nigricollis,Black-necked Grebe,Podiceps nigricollis,Least Concern,Schedule-II,,,
Rock Pigeon,Columba livia,rocpig,Columbiformes,Columbidae (Pigeons and Doves),Low,Strong Increase,Strong Increase,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,NA,NA,NA,Rock Pigeon,Columba livia,Rock Dove,Columba livia,Least Concern,Not protected,,,
Hill Pigeon,Columba rupestris,hilpig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Alpine & Cold Desert,Resident,NA,NA,NA,Hill Pigeon,Columba rupestris,Hill Pigeon,Columba rupestris,Least Concern,Schedule-II,,,
Snow Pigeon,Columba leuconota,snopig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Snow Pigeon,Columba leuconota,Snow Pigeon,Columba leuconota,Least Concern,Schedule-II,,,
Yellow-eyed Pigeon,Columba eversmanni,pabpig1,Columbiformes,Columbidae (Pigeons and Doves),High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Open Habitat,Winter Migrant,1,NA,NA,Yellow-eyed Pigeon,Columba eversmanni,Yellow-eyed Pigeon,Columba eversmanni,Vulnerable,Schedule-I,,,
Common Wood-Pigeon,Columba palumbus,cowpig1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Local Migrant & Winter Migrant,1,NA,NA,Common Wood Pigeon,Columba palumbus,Common Woodpigeon,Columba palumbus,Least Concern,Schedule-II,,,
Speckled Wood-Pigeon,Columba hodgsonii,spwpig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest,Resident,NA,NA,NA,Speckled Wood Pigeon,Columba hodgsonii,Speckled Woodpigeon,Columba hodgsonii,Least Concern,Schedule-II,,,
Ashy Wood-Pigeon,Columba pulchricollis,aswpig1,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest,Resident & Altitudinal Migrant,1,NA,NA,Ashy Wood Pigeon,Columba pulchricollis,Ashy Woodpigeon,Columba pulchricollis,Least Concern,Schedule-II,,,
Nilgiri Wood-Pigeon,Columba elphinstonii,niwpig1,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Forest,Resident & Local Migrant,NA,NA,NA,Nilgiri Wood Pigeon,Columba elphinstonii,Nilgiri Woodpigeon,Columba elphinstonii,Vulnerable,Schedule-I,,,
Pale-capped Pigeon,Columba punicea,pacpig1,Columbiformes,Columbidae (Pigeons and Doves),High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Forest & Plantation,Resident,1,NA,NA,Pale-capped Pigeon,Columba punicea,Pale-capped Pigeon,Columba punicea,Vulnerable,Schedule-I,,,
Andaman Wood-Pigeon,Columba palumboides,anwpig1,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Andaman and Nicobar Islands,Forest,Resident,NA,NA,1,Andaman Wood Pigeon,Columba palumboides,Andaman Woodpigeon,Columba palumboides,Near Threatened,Schedule-II,,,
European Turtle-Dove,Streptopelia turtur,eutdov,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Uncertain,NA,1,NA,European Turtle Dove,Streptopelia turtur,European Turtle-dove,Streptopelia turtur,Vulnerable,Schedule-II,,,
Oriental Turtle-Dove,Streptopelia orientalis,ortdov,Columbiformes,Columbidae (Pigeons and Doves),Low,Stable,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Within-India Migrant,NA,NA,NA,Oriental Turtle Dove,Streptopelia orientalis,Oriental Turtle-dove,Streptopelia orientalis,Least Concern,Schedule-II,,,
Eurasian Collared-Dove,Streptopelia decaocto,eucdov,Columbiformes,Columbidae (Pigeons and Doves),Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,NA,NA,NA,Eurasian Collared Dove,Streptopelia decaocto,Eurasian Collared-dove,Streptopelia decaocto,Least Concern,Schedule-II,,,
Red Collared-Dove,Streptopelia tranquebarica,recdov1,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Moderate Decline,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident & Local Migrant,NA,NA,NA,Red Collared Dove,Streptopelia tranquebarica,Red Turtle-dove,Streptopelia tranquebarica,Least Concern,Schedule-II,,,
Spotted Dove,Spilopelia chinensis,spodov,Columbiformes,Columbidae (Pigeons and Doves),Low,Stable,Stable,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,NA,NA,NA,Spotted Dove,Spilopelia chinensis,Western/Eastern Spotted Dove,Spilopelia suratensis/chinensis,Least Concern,Schedule-II,,,
Laughing Dove,Spilopelia senegalensis,laudov1,Columbiformes,Columbidae (Pigeons and Doves),Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,NA,NA,NA,Laughing Dove,Spilopelia senegalensis,Laughing Dove,Spilopelia senegalensis,Least Concern,Schedule-II,,,
Barred Cuckoo-Dove,Macropygia unchall,bacdov1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Forest,Resident,NA,NA,NA,Barred Cuckoo Dove,Macropygia unchall,Barred Cuckoo-dove,Macropygia unchall,Least Concern,Schedule-II,,,
Andaman Cuckoo-Dove,Macropygia rufipennis,ancdov1,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Andaman and Nicobar Islands,Forest,Resident,NA,NA,1,Andaman Cuckoo Dove,Macropygia rufipennis,Andaman Cuckoo-dove,Macropygia rufipennis,Least Concern,Schedule-II,,,
Namaqua Dove,Oena capensis,namdov1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Open Habitat,Winter Migrant,NA,NA,NA,Namaqua Dove,Oena capensis,Namaqua Dove,Oena capensis,Least Concern,Schedule-II,,,
Asian Emerald Dove,Chalcophaps indica,emedov2,Columbiformes,Columbidae (Pigeons and Doves),Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,NA,NA,NA,Asian Emerald Dove,Chalcophaps indica,Grey-capped Emerald Dove,Chalcophaps indica,Least Concern,Schedule-II,,,
Nicobar Pigeon,Caloenas nicobarica,nicpig1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,Forest,Resident,1,NA,1,Nicobar Pigeon,Caloenas nicobarica,Nicobar Pigeon,Caloenas nicobarica,Near Threatened,Schedule-I,Appendix I,,
Orange-breasted Green-Pigeon,Treron bicinctus,orbpig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest & Plantation,Local Migrant,NA,NA,NA,Orange-breasted Green Pigeon,Treron bicinctus,Orange-breasted Green-pigeon,Treron bicinctus,Least Concern,Schedule-II,,,
Gray-fronted Green-Pigeon,Treron affinis,pomgrp2,Columbiformes,Columbidae (Pigeons and Doves),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Forest,Resident,NA,NA,NA,Grey-fronted Green Pigeon,Treron affinis,Grey-fronted Green-pigeon,Treron affinis,Least Concern,Schedule-II,,,
Andaman Green-Pigeon,Treron chloropterus,pomgrp4,Columbiformes,Columbidae (Pigeons and Doves),High,Data Deficient,Strong Decline,Restricted,Diurnal,Diurnal,Fruit & Nect,No,No,No,Andaman and Nicobar Islands,Forest,Resident,NA,NA,1,Andaman Green Pigeon,Treron chloropterus,Andaman Green-pigeon,Treron chloropterus,Near Threatened,Schedule-I,,,
Ashy-headed Green-Pigeon,Treron phayrei,pomgrp5,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest,Resident,1,NA,NA,Ashy-headed Green Pigeon,Treron phayrei,Ashy-headed Green-pigeon,Treron phayrei,Near Threatened,Schedule-II,,,
Thick-billed Green-Pigeon,Treron curvirostra,thbpig1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest,Resident,NA,NA,NA,Thick-billed Green Pigeon,Treron curvirostra,Thick-billed Green-pigeon,Treron curvirostra,Least Concern,Schedule-II,,,
Yellow-footed Green-Pigeon,Treron phoenicopterus,yefpig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Moderate Increase,Uncertain,Very Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,None,Resident,NA,NA,NA,Yellow-footed Green Pigeon,Treron phoenicopterus,Yellow-footed Green-pigeon,Treron phoenicopterus,Least Concern,Schedule-II,,,
Pin-tailed Green-Pigeon,Treron apicauda,pitpig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest,Resident,NA,NA,NA,Pin-tailed Green Pigeon,Treron apicauda,Pin-tailed Green-pigeon,Treron apicauda,Least Concern,Schedule-II,,,
Wedge-tailed Green-Pigeon,Treron sphenurus,wetpig1,Columbiformes,Columbidae (Pigeons and Doves),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest,Resident,NA,NA,NA,Wedge-tailed Green Pigeon,Treron sphenurus,Wedge-tailed Green-pigeon,Treron sphenurus,Least Concern,Schedule-II,,,
Green Imperial-Pigeon,Ducula aenea,gripig1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest,Resident,NA,NA,NA,Green Imperial Pigeon,Ducula aenea,Green Imperial-pigeon,Ducula aenea,Near Threatened,Schedule-II,,,
Nicobar Imperial-Pigeon,Ducula nicobarica,grnimp2,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Imperial Pigeon,Ducula nicobarica,Nicobar Imperial-pigeon,Ducula nicobarica,Near Threatened,Schedule-II,,,
Malabar Imperial-Pigeon,Ducula cuprea,mouimp1,Columbiformes,Columbidae (Pigeons and Doves),Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Forest,Resident,NA,NA,NA,Malabar Imperial Pigeon,Ducula cuprea,Nilgiri Imperial-pigeon,Ducula cuprea,Least Concern,Schedule-II,,,
Mountain Imperial-Pigeon,Ducula badia,moipig1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,Forest,Resident,NA,NA,NA,Mountain Imperial Pigeon,Ducula badia,Mountain Imperial-pigeon,Ducula badia,Least Concern,Schedule-II,,,
Pied Imperial-Pigeon,Ducula bicolor,piipig1,Columbiformes,Columbidae (Pigeons and Doves),NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,None,None,Resident,NA,NA,1,Pied Imperial Pigeon,Ducula bicolor,Pied Imperial-pigeon,Ducula bicolor,Least Concern,Schedule-II,,,
Tibetan Sandgrouse,Syrrhaptes tibetanus,tibsan1,Pterocliformes,Pteroclidae (Sandgrouse),Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Alpine & Cold Desert,Resident,NA,NA,NA,Tibetan Sandgrouse,Syrrhaptes tibetanus,Tibetan Sandgrouse,Syrrhaptes tibetanus,Least Concern,Schedule-II,,,
Pallas's Sandgrouse,Syrrhaptes paradoxus,palsan1,Pterocliformes,Pteroclidae (Sandgrouse),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Alpine & Cold Desert,Uncertain,NA,1,NA,Pallas's Sandgrouse,Syrrhaptes paradoxus,Pallas's Sandgrouse,Syrrhaptes paradoxus,Least Concern,Schedule-II,,,
Pin-tailed Sandgrouse,Pterocles alchata,pitsan1,Pterocliformes,Pteroclidae (Sandgrouse),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland,Uncertain,NA,1,NA,Pin-tailed Sandgrouse,Pterocles alchata,Pin-tailed Sandgrouse,Pterocles alchata,Least Concern,Schedule-II,,,
Chestnut-bellied Sandgrouse,Pterocles exustus,chbsan,Pterocliformes,Pteroclidae (Sandgrouse),Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland,Resident,1,NA,NA,Chestnut-bellied Sandgrouse,Pterocles exustus,Chestnut-bellied Sandgrouse,Pterocles exustus,Least Concern,Schedule-II,,,
Spotted Sandgrouse,Pterocles senegallus,sposan1,Pterocliformes,Pteroclidae (Sandgrouse),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland,Winter Migrant,NA,NA,NA,Spotted Sandgrouse,Pterocles senegallus,Spotted Sandgrouse,Pterocles senegallus,Least Concern,Schedule-II,,,
Black-bellied Sandgrouse,Pterocles orientalis,blbsan1,Pterocliformes,Pteroclidae (Sandgrouse),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland,Winter Migrant,NA,1,NA,Black-bellied Sandgrouse,Pterocles orientalis,Black-bellied Sandgrouse,Pterocles orientalis,Least Concern,Schedule-II,,,
Painted Sandgrouse,Pterocles indicus,paisan1,Pterocliformes,Pteroclidae (Sandgrouse),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Forest,Resident,NA,NA,NA,Painted Sandgrouse,Pterocles indicus,Painted Sandgrouse,Pterocles indicus,Least Concern,Schedule-II,,,
Great Indian Bustard,Ardeotis nigriceps,indbus1,Otidiformes,Otididae (Bustards),High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Grassland,Resident,NA,NA,NA,Great Indian Bustard,Ardeotis nigriceps,Great Indian Bustard,Ardeotis nigriceps,Critically Endangered,Schedule-I,Appendix I,Appendix I,
Macqueen's Bustard,Chlamydotis macqueenii,macbus1,Otidiformes,Otididae (Bustards),NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Grassland,Winter Migrant,1,NA,NA,Macqueen's Bustard,Chlamydotis macqueenii,Asian Houbara,Chlamydotis macqueenii,Vulnerable,Schedule-I,Appendix I,Appendix II,
Bengal Florican,Houbaropsis bengalensis,benflo2,Otidiformes,Otididae (Bustards),High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,No,None,Wetland,Resident & Local Migrant,1,NA,NA,Bengal Florican,Houbaropsis bengalensis,Bengal Florican,Houbaropsis bengalensis,Critically Endangered,Schedule-I,Appendix I,Appendix I,
Lesser Florican,Sypheotides indicus,lesflo2,Otidiformes,Otididae (Bustards),High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Grassland,Local Migrant,NA,NA,NA,Lesser Florican,Sypheotides indicus,Lesser Florican,Sypheotides indicus,Critically Endangered,Schedule-I,Appendix II,,
Little Bustard,Tetrax tetrax,litbus1,Otidiformes,Otididae (Bustards),NA,NA,NA,NA,24 hour,Diurnal,Plant & Seed,No,No,No,None,Grassland,Uncertain,NA,1,NA,Little Bustard,Tetrax tetrax,Little Bustard,Tetrax tetrax,Near Threatened,Schedule-I,Appendix II,Appendix I,
Andaman Coucal,Centropus andamanensis,andcou1,Cuculiformes,Cuculidae (Cuckoos),Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Andaman Islands,None,Resident,NA,NA,1,Andaman Coucal,Centropus andamanensis,Andaman Coucal,Centropus andamanensis,Least Concern,Schedule-II,,,
Greater Coucal,Centropus sinensis,grecou1,Cuculiformes,Cuculidae (Cuckoos),Low,Stable,Strong Increase,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident,1,NA,NA,Greater Coucal,Centropus sinensis,Greater Coucal,Centropus sinensis,Least Concern,Schedule-II,,,
Lesser Coucal,Centropus bengalensis,lescou1,Cuculiformes,Cuculidae (Cuckoos),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident,NA,NA,NA,Lesser Coucal,Centropus bengalensis,Lesser Coucal,Centropus bengalensis,Least Concern,Schedule-II,,,
